metric,WDNN,fWDNN,RF,LR,SVM,lightGBM
accuracy,0.8651685393258427,0.7752808988764045,0.9213483146067416,0.8651685393258427,0.8539325842696629,0.8651685393258427
auc,0.7266666666666666,0.8419047619047618,0.8409523809523809,0.7952380952380952,0.7942857142857143,0.7847619047619048
log_loss,0.4543671284726388,0.9777979206960772,0.6576952008035444,0.5127401129219372,0.3595955725072403,0.4862931698214641
