y_true,WDNN,fWDNN,RF,LR,SVM,lightGBM
0.0,0.00013643503,0.2816057,0.18,0.006730330073768274,0.17425118120634422,0.0776177749814068
0.0,0.00037050247,0.9647408,0.5,0.4827999294899542,0.38087643569249574,0.5698438074999097
1.0,0.00031250715,0.96108913,0.64,0.5567349135151394,0.40533504461836667,0.5999791133861713
1.0,0.005853057,0.9806725,0.56,0.6298399868564036,0.4556429199846891,0.2673680255714423
1.0,0.011097699,0.9878119,0.6,0.9683059987752146,0.8009670209923415,0.4556974854540843
0.0,7.544361e-06,0.3318944,0.22,0.0007824941867118157,0.07170840270409246,0.01930693614004966
1.0,0.98039556,0.9999449,0.87,0.9999948876404338,0.953670490056164,0.9914210502792569
1.0,0.8169662,0.9978422,0.64,0.9943113956168741,0.8715731856649156,0.9253034477955888
0.0,0.016510576,0.8721323,0.35,0.4029468277235834,0.4211848801307966,0.611299082655269
0.0,9.12876e-05,0.009481847,0.11,0.010093249380849491,0.1728962592993676,0.013229982147008282
0.0,0.002688408,0.98359466,0.52,0.8387616036791876,0.6098204152252279,0.9110292611084883
1.0,0.59787196,0.99997175,1.0,0.9984871647642816,0.743584580518957,0.9971995613211347
0.0,0.005811572,0.66301423,0.51,0.6379607520489482,0.5148290750532419,0.415927345617194
0.0,0.0026376843,0.98070025,0.62,0.6226712473267207,0.2996445316963988,0.7599814746988149
0.0,0.00013634562,0.08586168,0.18,0.12558861674997557,0.2957251676170624,0.7992969004802859
0.0,5.422815e-05,0.049249798,0.2,0.0003575632262242973,0.09864824877749595,0.06677905982227847
0.0,0.00010734798,0.010210186,0.09,0.008861946295026752,0.21385113239749157,0.034104708278604255
0.0,0.00010722745,0.018017232,0.1,0.18961690895008296,0.4253908878078021,0.16279028919767422
1.0,0.0045075715,0.07898599,0.32,0.38106993212205487,0.5,0.3540060840489742
0.0,2.5813686e-05,0.020623535,0.08,0.003176098810347806,0.17395992037021876,0.004027661949607251
0.0,6.870454e-05,0.04138443,0.14,0.034699914751593654,0.29098840818323507,0.012282392263640281
1.0,0.67968905,0.99998176,1.0,0.9979193747968528,0.7407939509666543,0.9944870438685148
0.0,7.642976e-05,0.07052779,0.22,0.004931519173550449,0.17651282220181494,0.0060441576172595235
0.0,0.05558476,0.99856365,0.61,0.44135251686785976,0.4492040487223262,0.6717456063910017
1.0,0.0003169179,0.95315075,0.48,0.6083836406114443,0.4759420144867572,0.7798878439786601
1.0,1.7329085e-05,0.032127082,0.14,0.00026552977256229704,0.09039266478019996,0.013336790819218286
0.0,0.00023400784,0.8073803,0.34,0.136382743345573,0.31597246620629055,0.15617210500158413
1.0,0.0031618178,0.61457324,0.47,0.932052589034823,0.6950268269510355,0.6443777255949691
1.0,2.048397e-05,0.07546127,0.3,0.006845535358106491,0.10077638718727308,0.009200390550446408
1.0,6.7416777e-06,0.44878855,0.26,0.0006631677324927775,0.09854928990812184,0.10184429847168427
0.0,5.69917e-05,0.053168178,0.11,0.006343059274641535,0.1706480372319569,0.094539164199243
0.0,0.00015813112,0.8329214,0.37,0.029168954691109916,0.24628655120849352,0.07684454403951985
1.0,5.0265003e-06,0.65295506,0.51,0.06498640875208717,0.2810229628266798,0.116396974114018
1.0,0.0003823638,0.019002527,0.1,0.07801585747810533,0.35031834793413863,0.004023302883938654
0.0,2.250505e-05,0.21182916,0.25,0.0008096430688352069,0.10134979464929002,0.01639732253518057
1.0,0.004172951,0.9999149,0.88,0.9351288399699076,0.731921034743566,0.8699237867486855
0.0,0.003394395,0.708437,0.45,0.3345703980551561,0.40537326413372393,0.12532075537708467
0.0,2.8745719e-05,0.008940101,0.04,0.006885659812133748,0.19667067892356058,0.0457742582633981
1.0,0.010236323,0.76879287,0.34,0.5107121595294496,0.5926075974714463,0.044110460484903226
0.0,0.00036251545,0.21322346,0.26,0.04384876243081402,0.17473730449467834,0.009258019556624827
1.0,0.3773402,0.99997103,0.98,0.999060310541891,0.784914503090965,0.9956499093692746
1.0,0.0029506385,0.54951835,0.36,0.004127535082326638,0.1618721092267484,0.04111293858899382
0.0,0.0006040633,0.10653335,0.18,0.1146737685276274,0.3872977271296295,0.03128415988673536
0.0,7.0905196e-07,0.035115153,0.12,0.00020986507668588144,0.07454941542790432,0.025456303723486545
0.0,0.00035613775,0.9813482,0.49,0.04501978967748594,0.2343698628714793,0.3295649310822072
0.0,5.738361e-05,0.0118662715,0.12,0.004492274816483491,0.13946907389850927,0.007005893645378266
0.0,0.00025597215,0.8695917,0.5,0.6431081882074209,0.43245990570883863,0.018115606486922238
0.0,0.00025838614,0.35698465,0.21,0.05271794361760102,0.35921264728404584,0.17903493534230824
1.0,0.5398843,0.9999738,0.99,0.9996333817247197,0.8231626567651145,0.9982507458629903
1.0,0.35249168,0.99997646,0.99,0.9966514138634315,0.7476050292382257,0.9968488340274949
0.0,0.00015416741,0.22040868,0.2,0.013781122047081828,0.2182232667264767,0.023974155506629635
0.0,0.0003567934,0.03636855,0.2,0.04546160715366846,0.29997635882760565,0.19063598139507348
1.0,0.20170617,0.99955046,0.86,0.990632919168654,0.6725336341795939,0.87865708027731
1.0,0.5383484,0.9999826,0.98,0.9979752193413879,0.8109633153410166,0.9954146119385032
0.0,0.0020741224,0.9673674,0.64,0.12676303341251735,0.2745709830176439,0.4881074596470432
1.0,0.054474026,0.99293584,0.68,0.9267245203402509,0.5973937574825176,0.33233612396133616
0.0,7.4758623e-06,0.06864384,0.09,0.0016125801639531008,0.17305525532672075,0.001396378911614714
0.0,0.30107963,0.9097729,0.32,0.8084141111155255,0.5434081511309844,0.5314397297565564
0.0,0.13728428,0.99993926,0.95,0.950998005999006,0.6013278881210471,0.9653779214087979
0.0,0.0004335642,0.9675987,0.62,0.5362250803791552,0.32099642071410506,0.30905697067603183
1.0,0.00011650158,0.008598387,0.16,0.05790883970209651,0.33549319713233355,0.022363140580893913
0.0,4.4654742e-05,0.016008914,0.15,0.01127502886500854,0.2329178540504134,0.07510919459605245
0.0,0.00071781874,0.020869851,0.09,0.12119422733058548,0.3085281409866891,0.19043180646754979
1.0,0.90277153,0.99998045,0.99,0.9995104549088478,0.8573585298497487,0.993833309190617
0.0,0.0027181208,0.8585577,0.52,0.924439091115849,0.6625033657507299,0.5665751474914004
0.0,7.154021e-05,0.18799376,0.22,0.008513117865646493,0.19513192692902523,0.004067790855571558
0.0,8.0588725e-06,0.017046362,0.12,0.0005286873671694036,0.07490055526380862,0.08660581247532971
0.0,0.0010515153,0.14627454,0.22,0.03656394508889186,0.4197984174683649,0.05272268389252985
0.0,0.0001707077,0.019440025,0.16,0.060785704956844475,0.24239104072209097,0.14823986044531018
0.0,0.0063495934,0.90570796,0.43,0.405499526819161,0.4289810532613547,0.9058496440089915
0.0,6.430761e-05,0.061898828,0.16,0.045925357889358275,0.23403433214903585,0.2614654716742057
0.0,0.00024056435,0.030504256,0.18,0.0863474986076613,0.24515626545436142,0.021599814870374906
1.0,3.160398e-05,0.17328066,0.35,0.0822068772166895,0.23595137377594347,0.032991232448354474
0.0,0.002371043,0.05154857,0.24,0.00529437036671135,0.15379309718578033,0.006355553879466862
0.0,0.062469274,0.9814913,0.56,0.9633544391670172,0.669781017295007,0.3587193561443874
0.0,2.4792803e-06,0.18052697,0.25,0.00010029670153314149,0.050444089465637616,0.005140685370907001
0.0,2.5719768e-05,0.13737842,0.21,0.0023330465073936155,0.20636606449612635,0.038291391346224446
1.0,8.910526e-05,0.70492756,0.52,0.24406225327943168,0.2786745607166848,0.11153625894777441
1.0,0.0002824068,0.009694219,0.12,0.010492929998941686,0.20980901091573947,0.005377671376060998
1.0,0.096521854,0.9985038,0.59,0.28070123995447743,0.25044118862797,0.8456951709932078
0.0,0.00011629367,0.025670886,0.13,0.003004271874294118,0.15776270641150728,0.007370346377509732
1.0,0.029613465,0.86664486,0.49,0.9951706941029076,0.7650976358314849,0.7691082883401522
1.0,9.975704e-06,0.10113591,0.11,0.0015306865253354803,0.1228968643278695,0.022823102698648776
0.0,3.5281813e-05,0.19092599,0.3,0.04245617468210559,0.19502642328532888,0.021884264405872874
0.0,3.3191867e-05,0.032850653,0.16,9.185924939656727e-06,0.051365811648521685,0.012135998461483164
1.0,2.1127903e-06,0.05199966,0.25,0.00010264167412194758,0.0892828838348772,0.019693547977827304
1.0,0.34642667,0.9999347,0.98,0.9934500981234694,0.7240048883451627,0.9956493293681754
1.0,0.31126246,0.99817026,0.63,0.9609596901225649,0.702233590521716,0.9531789034448352
0.0,0.00012916327,0.95257807,0.47,0.11955737409872048,0.24464351595813721,0.21740939971282278
