y_true,WDNN,fWDNN,RF,LR,SVM,lightGBM
0.0,0.012710929,0.053373605,0.15,0.047342696067800095,0.08379468878090256,0.01912382692939657
1.0,0.09084982,0.9358563,0.25,0.1847118572434282,0.33266159497577547,0.05545481616109235
0.0,0.1696145,0.9957546,0.33,0.636383033249665,0.3912593581909399,0.8858708529726438
0.0,0.016485125,0.0356479,0.04,0.007005494318030835,0.06721064840579992,0.02034816809902546
0.0,0.006904155,0.022488058,0.04,0.0003829979252112383,0.04290293718098843,0.010154390268548663
0.0,0.020344347,0.041700333,0.06,0.09110877589607691,0.2267579968491787,0.04420485972738861
0.0,0.006911993,0.021989673,0.02,0.000497066781981446,0.03937975570023647,0.00023969956927771273
0.0,0.009312391,0.05718741,0.05,0.0021401499918035,0.03403158403099676,0.029271437620704253
0.0,0.08483654,0.031256795,0.06,0.07761566576834407,0.19394708438627362,0.0012371467508225703
0.0,0.0076787174,0.05296594,0.01,0.0011506384930051212,0.06045742190646521,0.0004908137915587173
0.0,0.0015549958,0.055648327,0.09,0.0009037853486602346,0.08752132027961639,0.008992061995803931
1.0,0.9220606,1.0,0.71,0.9209477799782099,0.45571000443191556,0.9532639684882477
0.0,0.048244447,0.037721038,0.04,0.005228696111759624,0.09444300562786632,0.0005177769665370977
0.0,0.031865627,0.011736244,0.08,0.021472519983272337,0.08590475858467105,0.009701324521232626
0.0,0.009939253,0.07591623,0.03,0.00114983864165272,0.06492951351743247,0.0003633771830116417
1.0,0.3096881,0.99999857,0.69,0.8495099041486147,0.5794501972742623,0.7860714455106533
1.0,0.029358774,0.97967696,0.35,0.04259574651571326,0.2368258663779629,0.3666428780991841
0.0,0.036798924,0.062873095,0.15,0.06055963925520391,0.13311797557037675,0.04932357526525164
0.0,0.0030695796,0.024759948,0.01,0.0010789583616738288,0.07951164092166142,0.00038324735656597225
1.0,0.16020706,0.9998319,0.55,0.6553086182092379,0.4808413206108923,0.8616267365777218
1.0,0.0056432188,0.12768236,0.16,0.005557340173802324,0.0962523524581287,0.0020629402189043314
0.0,0.0013252795,0.05019483,0.01,0.00033931406600998644,0.04228783083777039,0.006306938834751658
0.0,0.02605632,0.08270314,0.07,0.02748573698082838,0.1904026207920602,0.0024123645650913437
0.0,0.032908678,0.035937786,0.08,0.010222878897201668,0.10066780411531165,0.026093804086634354
0.0,0.8700187,0.9999994,0.84,0.994439662524145,0.8323583100538973,0.979582694700589
0.0,0.009376317,0.059742123,0.01,0.0003809418359013253,0.027325576083593556,0.000845556358452882
0.0,0.0014106035,0.020546049,0.01,3.246666367939239e-05,0.01518171677633394,0.0005783639469378771
0.0,0.4795193,0.9504367,0.37,0.6940257226272811,0.5,0.11963950318170109
0.0,0.010391951,0.12882918,0.09,0.0004163460026696735,0.03751443577805372,0.016694103803068155
0.0,0.008790046,0.029901594,0.01,5.359788203136829e-05,0.016192733085981414,0.00015837371302188097
0.0,0.0025923252,0.07806212,0.0,0.0006749248453408061,0.040673066052559964,0.0015517934007923434
0.0,0.101986945,0.29778013,0.15,0.009861160574803872,0.07974493254800032,0.005806907408262318
0.0,0.0010239184,0.044586718,0.03,2.980526535290373e-05,0.007898101013160599,0.000494728266369427
0.0,0.00864926,0.029097646,0.05,0.00931022331252492,0.0741397272047798,0.002861019226940829
0.0,0.005693823,0.042750776,0.03,0.00047808405312942896,0.05085949947625932,0.0006348661556932151
1.0,0.0028509498,0.018877208,0.0,0.0009016330607418599,0.060139866894568746,0.0006863081176211861
0.0,0.0033857822,0.029922783,0.08,0.0006199409046349959,0.047907504409127534,0.003588636567883751
0.0,0.22700036,0.9999571,0.39,0.9806637216227432,0.5941898402162382,0.5809955332539842
1.0,0.4077691,1.0,0.88,0.9591214082313753,0.5520998154670688,0.968719844334087
0.0,0.0039534867,0.050944388,0.06,0.0010491464179842411,0.05842515706118953,0.0014928192485125478
0.0,0.07323408,0.8353584,0.24,0.04410373456683721,0.18030558113025003,0.15905530722812897
0.0,0.010573268,0.024401575,0.01,0.0009132394845864942,0.08161036589582837,0.0004602556922043998
0.0,0.053812742,0.15566087,0.18,0.04979892660615033,0.26716929781420967,0.020002650758761096
0.0,0.014014035,0.02910453,0.12,0.011879621194282602,0.0870979300531034,0.01270603791083832
0.0,0.016532034,0.12241539,0.08,0.0008896801600858349,0.0891580080050431,0.0005780215735805681
0.0,0.0060327053,0.030493587,0.01,0.00038102612333668626,0.045218174662302504,0.0005107622858735018
0.0,0.02419731,0.097593606,0.19,0.20275603222522945,0.3001923117365264,0.061490803568596375
0.0,0.3745696,0.96063685,0.39,0.889884057408819,0.6385684455532741,0.9542271064865446
0.0,0.011829048,0.024217516,0.01,0.005826943476825483,0.1081019113201831,0.00808675486606803
0.0,0.086925894,0.9988297,0.4,0.16267218977183706,0.21938030878809578,0.10846523156946164
1.0,0.046048492,0.17219445,0.27,0.079743340091749,0.15113629604551213,0.002738591674343624
