y_true,WDNN,fWDNN,RF,LR,SVM,lightGBM
0.0,0.05230573,0.18592462,0.01,0.0007924060482138396,0.03425490049351253,0.0006438600891897734
0.0,0.10593483,0.109707296,0.0,0.0012294377249793466,0.0495748869078838,0.00011780467855435821
1.0,0.75790626,1.0,0.65,0.9246866550561224,0.5795648563154472,0.22867651233704525
0.0,0.3431785,0.50226533,0.18,0.016129362724673305,0.09453053993521335,0.004602805486912354
0.0,0.10455996,0.35592565,0.06,0.0028872115636124616,0.05619815619858191,0.001413638973836135
0.0,0.28907636,0.9334512,0.18,0.06122557855068419,0.134856146164222,0.05281336175051177
0.0,0.18297935,0.13802102,0.03,0.01252121376681141,0.10849776968479506,0.003581256370851053
0.0,0.078356445,0.2279408,0.07,0.0014319671975277196,0.06398489447814192,0.00018023579674788395
0.0,0.07692084,0.13357326,0.02,0.00014603734305216918,0.037585105129537125,0.000850791185596257
0.0,0.0026034415,0.5163302,0.06,3.666653500924709e-06,0.008914800829878068,3.442301864403514e-05
1.0,0.09181777,0.586326,0.11,0.0006259147048018706,0.04101391685892331,9.956609006637294e-05
0.0,0.17485619,0.44757017,0.08,0.002568847903019418,0.07954336135053468,4.79344687228351e-05
0.0,0.060069352,0.072707474,0.02,0.006214670189134261,0.06525397614435346,9.270334581838854e-05
0.0,0.27102163,0.11688417,0.06,0.0046456547350765985,0.08960970209372801,0.000157466652500323
0.0,0.0086738765,0.96119934,0.26,0.004205182364414249,0.11103781896922332,0.00013463973754466703
0.0,0.30830094,0.13980386,0.04,0.0023578118457444606,0.06282759173827557,0.000422193539696805
0.0,0.23979631,0.08177772,0.05,0.007660987871574151,0.09405367226835004,0.0009821879669058113
0.0,0.12792653,0.10874075,0.02,0.0011776937935721221,0.06606800522442771,0.00020508559426026538
0.0,0.45418614,0.9563135,0.17,0.19650225132907184,0.13891042516003416,0.8545710323695537
0.0,0.07386464,0.08023682,0.02,0.000892188907906062,0.05057311788127677,0.00023209379231516996
0.0,0.17807359,0.20507646,0.13,0.0025299405837282732,0.05867105155404515,0.01294412515632402
0.0,0.33272567,0.31386167,0.11,0.030753478013658287,0.11321609981908316,0.0018960108809192582
0.0,0.07752895,0.76797056,0.12,0.0003789575805355154,0.04533006537763048,0.000556459100571879
0.0,0.3676979,0.25214458,0.06,0.0781332379984542,0.13940944488737822,0.10459461196936293
0.0,0.16257277,0.16138127,0.05,0.004226526031687316,0.06254343485931285,0.0012554930679163215
0.0,0.14553684,0.10117003,0.06,0.022305513487129405,0.09637952902979517,0.00048110545677135935
0.0,0.4160503,0.54072535,0.11,0.016258879987240512,0.13036207607690098,0.004347375671667163
0.0,0.025348336,0.17158881,0.1,2.8703194909919953e-05,0.02694821973038046,0.0036182393323207114
0.0,0.066459715,0.101911634,0.03,0.013653942981722875,0.07599487998614046,0.00044781489871130426
0.0,0.19597301,0.19406796,0.07,0.05287954543521226,0.12502841808862286,0.0005269005296740515
0.0,0.21542022,0.417225,0.04,0.009197871504613932,0.12103770251739156,0.0017321373224253485
0.0,0.14650446,0.20545316,0.05,0.00010422773091742884,0.02417657320103566,0.0005990831258588439
0.0,0.055482626,0.09920463,0.05,0.013457813081775601,0.07769183297616776,0.003719724142532013
0.0,0.1531643,0.10003808,0.05,0.02717135081589156,0.10642800357135264,0.007649036064031457
0.0,0.19425634,0.16506392,0.05,0.01451158925207797,0.14618878980099773,0.0002859459188773408
0.0,0.105968356,0.34604895,0.05,0.00048114088303564256,0.04043926150830768,0.0021130389267476476
0.0,0.0034761429,0.98979497,0.18,9.351936322074817e-05,0.04710742753423931,0.00023365193182493612
0.0,0.085327536,0.11033529,0.0,0.00037311858107948827,0.03869516598944166,9.377025896040444e-05
1.0,0.041677862,0.9643295,0.2,0.006551778415795923,0.09655830876276823,0.5934404835066559
0.0,0.36076513,0.9731698,0.2,0.17176781804289384,0.18734983901111577,0.005436341098416721
0.0,0.12905914,0.16104707,0.05,0.0010683666215723973,0.05390138084760775,0.00044128455657815527
0.0,0.05602166,0.07904205,0.03,7.614281477208029e-05,0.0217969224743642,7.66636994845159e-05
0.0,0.24660021,0.8993372,0.16,0.020205040339861126,0.12669601334879746,0.003542618842179751
0.0,0.04594949,0.11282757,0.03,0.0002388493542184981,0.05254767134827894,0.0002754137853487665
0.0,0.3014307,0.6951405,0.2,0.4292045110496736,0.4017593296195688,0.028897811931611308
0.0,0.47551042,0.3428418,0.14,0.0503858143902984,0.10068951707714527,0.011304751646885122
0.0,0.12638757,0.20201287,0.05,0.0017513760471187826,0.07288474333676029,3.81528214234552e-05
1.0,0.08304146,0.785255,0.08,0.0025181537307913974,0.08308209934182446,0.0041682207151854805
0.0,0.068757355,0.11560646,0.05,0.00995056546910048,0.07521607802397214,0.001833896867845181
0.0,0.41650087,0.9298315,0.09,0.0726185712570279,0.14683068492408238,0.004264869847203353
0.0,0.008199006,0.1812737,0.04,2.942383006466726e-05,0.018389782141095948,0.005573063809960598
0.0,0.22394493,0.9984963,0.26,0.42153753290100465,0.3109023363122661,0.5449384791702683
0.0,0.10951969,0.581098,0.09,0.0008698758354440692,0.04539793530672984,0.000295293825745206
0.0,0.36276478,0.9546913,0.23,0.018045556274958127,0.1029971148470294,0.007460941447637015
1.0,0.44299003,0.8146262,0.27,0.3458067369389238,0.24725214148201424,0.0005720392958647813
