y_true,WDNN,fWDNN,RF,LR,SVM,lightGBM
0.0,0.99958026,0.7641163,0.59,0.5938583877253403,0.5838402500349554,0.9453221979625183
0.0,0.41885024,0.935879,0.41,0.17910819343272147,0.6455710478269742,0.1446938052312509
1.0,0.0646804,0.9145473,0.51,0.9003515910352924,0.6193603557769595,0.819809848172673
0.0,0.0060169995,0.010201544,0.3,0.0011473539217307651,0.38133599461825335,0.03885209500508262
0.0,7.0659585e-06,2.998844e-05,0.14,0.0014840365849904803,0.2395105880641477,0.011767438457574785
1.0,0.001553446,0.7796781,0.49,0.20537039124108875,0.5469775865708066,0.5778150872768397
1.0,0.9997916,0.9410182,0.59,0.9692187582201929,0.6841620002426836,0.4076708822031643
0.0,0.0032848716,6.819166e-05,0.31,0.043697582193311796,0.3999097160058616,0.068012705368281
1.0,0.0025229156,0.099405825,0.4,0.5215933014815304,0.6801970811244913,0.6067225426859486
1.0,0.23515317,0.03286144,0.46,0.42620545719064495,0.4504558343643436,0.6046091144882393
0.0,0.0007966459,0.03198412,0.5,0.006393953767608788,0.4066633050918008,0.14324641428338536
1.0,0.38405237,0.99905944,0.99,0.9974468639411154,0.8708604667780182,0.9934287580262448
0.0,0.0021772683,0.9908608,0.63,0.06926443159852055,0.30387402827998566,0.26947661159824904
0.0,0.00012564659,0.010659128,0.33,0.14793224944901215,0.5,0.17976667372763222
1.0,0.21721533,0.009030074,0.3,0.8709151149687964,0.6002005898977328,0.08249682911700291
0.0,0.0036646426,0.8550924,0.54,0.1710414630447911,0.5807353367112299,0.2557057684395827
1.0,0.024388224,0.99918854,0.99,0.9854861331485304,0.7253247143033548,0.9984553545471349
1.0,0.999689,0.9995122,0.98,0.9994877198674269,0.891612950559567,0.9993962098780097
1.0,5.2915806e-05,0.32558978,0.4,0.025460562946015803,0.39915745972298816,0.32427736246253663
1.0,7.322039e-05,0.8201894,0.55,0.5743389587731123,0.5928482300595189,0.6705705729559853
1.0,0.8525147,0.9949303,0.93,0.9778172599760986,0.7792719459489285,0.9807732853030346
1.0,0.07984251,0.9668232,0.56,0.9285262777667375,0.6120967910668796,0.9904997462286894
0.0,0.0021191537,0.97858477,0.75,0.9777004049723115,0.8032040688027875,0.9396532456750916
1.0,0.11015478,0.9841151,0.69,0.7431359160006697,0.5780241760142322,0.5669794005861686
1.0,0.12029275,0.9962743,0.82,0.991012937583231,0.7759942053148832,0.9657377306049099
0.0,0.079723865,0.9009726,0.49,0.9899978382116424,0.893409326250586,0.9575722096125734
0.0,0.000120585166,0.33474636,0.45,0.2734958749404571,0.7328840425986036,0.08008756691514868
1.0,0.8985322,0.999585,0.98,0.9994112713603683,0.8139459441224486,0.9989809172455125
1.0,0.8799683,0.9987143,0.99,0.9937639470678432,0.8767497434896001,0.9992116412993725
1.0,0.5387584,0.9916334,0.82,0.8624903781875519,0.6308628358968912,0.9715871665786908
1.0,0.79565704,0.9966552,0.88,0.9418420709843015,0.7104188686066059,0.9426267927069069
1.0,0.014556378,0.98997355,0.82,0.9850162070257227,0.8413265195046981,0.9932180543478022
1.0,0.9966897,0.99476063,0.91,0.9971319817964611,0.8061130733245949,0.9979015021724148
0.0,1.8718616e-05,0.067866296,0.44,0.01772517385174592,0.2058619892602385,0.33455763985951004
1.0,0.13789445,0.99924266,1.0,0.9964585783037907,0.7513391589092339,0.9907156313319727
1.0,0.0040688813,0.9973029,0.78,0.6834299202327092,0.6378477019634451,0.6048809309502573
1.0,0.99532485,0.9994932,1.0,0.9999349163699766,0.9100556658722682,0.9996359349319578
1.0,6.9860957e-06,0.9244002,0.55,0.8869263323918316,0.6175446621457439,0.957206736972889
1.0,0.9954697,0.9994932,1.0,0.9998948673319622,0.8986352922354465,0.9995807321261775
1.0,0.982832,0.7168284,0.64,0.9921652401020867,0.858017691677404,0.8343018686023865
1.0,0.9999813,0.9994932,1.0,0.9997421121082716,0.8419635191143466,0.9997052842976432
1.0,0.0050157607,0.9981756,0.9,0.9740947170376287,0.7609650233946953,0.9909958905223137
1.0,0.8666719,0.9985735,0.81,0.9976523638039841,0.9080885186243011,0.9884579575378156
