metric,WDNN,fWDNN,RF,LR,SVM,lightGBM
accuracy,0.925,0.7125,0.925,0.925,0.925,0.9
auc,0.5086805555555556,0.7916666666666666,0.8177083333333333,0.6163194444444444,0.623263888888889,0.6302083333333333
log_loss,0.3908753981822156,0.9460032465595931,0.24886335888210614,0.483228133953099,0.29756686803070453,0.5380705582072761
